edge_id,from,from_url,relation,to,to_url,confidence,evidence
e001,wcag-2.2,https://www.w3.org/TR/WCAG22/,supersedes,wcag-2.0,https://www.w3.org/TR/WCAG20/,high,primary_wcag_version and wcag policy statements in project datasets.
e002,atag-to-wcag-2.2-crosswalk,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/atag-to-wcag-2.2-crosswalk.yaml,maps_to,wcag-2.2,https://www.w3.org/TR/WCAG22/,high,crosswalk maps ATAG requirements to WCAG 2.2 profile targets.
e003,atag-to-wcag-2.2-crosswalk,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/atag-to-wcag-2.2-crosswalk.yaml,maps_to,atag-2.0,https://www.w3.org/TR/ATAG20/,high,crosswalk source requirements are ATAG 2.0 success criteria.
e004,w3c-wai-standards-index,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-standards.yaml,catalogs,wcag-2.2,https://www.w3.org/TR/WCAG22/,high,standards index includes WCAG 2.2 entry.
e005,w3c-wai-standards-index,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-standards.yaml,catalogs,atag-2.0,https://www.w3.org/TR/ATAG20/,high,standards index includes ATAG 2.0 entry.
e006,w3c-wai-standards-index,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-standards.yaml,catalogs,uaag-2.0,https://www.w3.org/TR/UAAG20/,high,standards index includes UAAG 2.0 entry.
e007,w3c-wai-standards-index,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-standards.yaml,catalogs,wai-aria-1.2,https://www.w3.org/TR/wai-aria-1.2/,high,standards index includes WAI-ARIA entry.
e008,w3c-wai-standards-index,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-standards.yaml,catalogs,html-living-standard,https://html.spec.whatwg.org/multipage/,high,standards index includes HTML Living Standard entry.
e009,w3c-wai-standards-index,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-standards.yaml,catalogs,w3c-css-overview,https://www.w3.org/Style/CSS/Overview.en.html,high,standards index includes CSS specifications overview entry.
e010,w3c-wai-informative-catalog,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-informative-resources.yaml,applies_to,wcag-2.2,https://www.w3.org/TR/WCAG22/,high,informative catalog resources include applies_to WCAG 2.2.
e011,w3c-wai-informative-catalog,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-informative-resources.yaml,applies_to,atag-2.0,https://www.w3.org/TR/ATAG20/,high,informative catalog resources include applies_to ATAG 2.0.
e012,w3c-wai-informative-catalog,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-informative-resources.yaml,applies_to,uaag-2.0,https://www.w3.org/TR/UAAG20/,high,informative catalog resources include applies_to UAAG 2.0.
e013,w3c-wai-informative-catalog,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-informative-resources.yaml,applies_to,wai-aria-1.2,https://www.w3.org/TR/wai-aria-1.2/,high,informative catalog resources include applies_to WAI-ARIA.
e014,html-living-standard-accessibility,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/html-living-standard-accessibility.yaml,catalogs,html-living-standard,https://html.spec.whatwg.org/multipage/,high,dataset inventories HTML Living Standard sections.
e015,css-specifications-index,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/css-specifications-index.yaml,catalogs,w3c-css-overview,https://www.w3.org/Style/CSS/Overview.en.html,high,dataset inventories CSS specifications from W3C overview.
e016,aria-in-html,https://www.w3.org/TR/html-aria/,profiles,html-living-standard,https://html.spec.whatwg.org/multipage/,high,ARIA in HTML defines ARIA usage constraints within HTML.
